GTEX.1117F.0226.SM.5GZZ7_Adipose.Subcutaneous	GTEX.111CU.1826.SM.5GZYN_Adipose.Subcutaneous	GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous	GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous	GTEX.111YS.2426.SM.5GZZQ_Adipose.Subcutaneous	GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous	GTEX.1128S.2126.SM.5H12U_Adipose.Subcutaneous	GTEX.113IC.0226.SM.5HL5C_Adipose.Subcutaneous	GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous	GTEX.11DXX.2326.SM.5Q5A2_Adipose.Subcutaneous	GTEX.11DZ1.0226.SM.5A5KF_Adipose.Subcutaneous	GTEX.11EI6.0226.SM.5EQ64_Adipose.Subcutaneous	GTEX.11EM3.2326.SM.5H12B_Adipose.Subcutaneous	GTEX.11EMC.2826.SM.5PNY6_Adipose.Subcutaneous	GTEX.11EQ8.0226.SM.5EQ5G_Adipose.Subcutaneous	GTEX.11EQ9.2526.SM.5HL66_Adipose.Subcutaneous	GTEX.11GS4.2626.SM.5A5LD_Adipose.Subcutaneous	GTEX.11GSO.2326.SM.5A5LX_Adipose.Subcutaneous	GTEX.11H98.0226.SM.5NQ89_Adipose.Subcutaneous	GTEX.11I78.2626.SM.5Q5AI_Adipose.Subcutaneous	GTEX.11LCK.1126.SM.5A5KC_Adipose.Subcutaneous	GTEX.11O72.0226.SM.59869_Adipose.Subcutaneous	GTEX.11OF3.2426.SM.5Q5AS_Adipose.Subcutaneous	GTEX.11ONC.2526.SM.5986W_Adipose.Subcutaneous	GTEX.11P7K.2026.SM.5GU74_Adipose.Subcutaneous	GTEX.11P81.2426.SM.5GU65_Adipose.Subcutaneous	GTEX.11P82.1726.SM.5Q5AT_Adipose.Subcutaneous	GTEX.11PRG.0626.SM.5BC56_Adipose.Subcutaneous	
PRKCZ	0.92	0.92	0	0	0.92	0	0	0.92	0	0	0.92	0	0	0.92	0	0	0.92	0	0	0.92	0	0	0.92	0	0	0.92	0	0	0.92
PRKD1	3.33	3.33	3.14	3.14	3.33	3.14	2.11	3.33	3.14	1.29	3.33	3.14	2.39	3.33	3.14	1.67	3.33	3.14	1.74	3.33	3.14	2.12	3.33	3.14	2.25	3.33	3.14	2.16	3.33
PRKD2	5.22	5.22	4.22	4.22	5.22	4.22	4.35	5.22	4.22	4.56	5.22	4.22	4.26	5.22	4.22	4.37	5.22	4.22	4.17	5.22	4.22	4.25	5.22	4.22	4.01	5.22	4.22	4.8	5.22
PRKD3	3.09	3.09	2.72	2.72	3.09	2.72	3.16	3.09	2.72	2.63	3.09	2.72	2.75	3.09	2.72	2.87	3.09	2.72	2.78	3.09	2.72	3.01	3.09	2.72	2.74	3.09	2.72	2.92	3.09
PRKDC	4.54	4.54	4.62	4.62	4.54	4.62	4.2	4.54	4.62	4	4.54	4.62	4.38	4.54	4.62	4.04	4.54	4.62	4.04	4.54	4.62	4.11	4.54	4.62	4.18	4.54	4.62	4.22	4.54
PRKG1	4.44	4.44	4.59	4.59	4.44	4.59	6.33	4.44	4.59	5.17	4.44	4.59	4.29	4.44	4.59	4.35	4.44	4.59	4.16	4.44	4.59	5.67	4.44	4.59	4.17	4.44	4.59	7.29	4.44
PRKG1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKG2	4.79	4.79	0.92	0.92	4.79	0.92	3.96	4.79	0.92	2.45	4.79	0.92	1.01	4.79	0.92	1.34	4.79	0.92	1.36	4.79	0.92	4.63	4.79	0.92	3.69	4.79	0.92	3.15	4.79
PRKRA	4.36	4.36	4.36	4.36	4.36	4.36	4.48	4.36	4.36	4.01	4.36	4.36	4.19	4.36	4.36	4.46	4.36	4.36	4.52	4.36	4.36	4.33	4.36	4.36	4.23	4.36	4.36	4.26	4.36
PRKRIP1	2.09	2.09	1.32	1.32	2.09	1.32	1.76	2.09	1.32	1.68	2.09	1.32	1.17	2.09	1.32	1.38	2.09	1.32	1.08	2.09	1.32	1.5	2.09	1.32	0.89	2.09	1.32	1.46	2.09
PRKRIR	6.78	6.78	6.56	6.56	6.78	6.56	7.08	6.78	6.56	6.67	6.78	6.56	6.95	6.78	6.56	7.13	6.78	6.56	7.28	6.78	6.56	6.93	6.78	6.56	6.34	6.78	6.56	6.88	6.78
PRKX	5.25	5.25	4.8	4.8	5.25	4.8	4.52	5.25	4.8	5.26	5.25	4.8	4.94	5.25	4.8	5.43	5.25	4.8	5.21	5.25	4.8	4.78	5.25	4.8	4.75	5.25	4.8	4.33	5.25
PRKX-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRL	0	0	0	0	0	0	0	0	0	0.17	0	0	0.17	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0.21	0
PRLH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRLHR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRLR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRM1	0	0	0	0	0	0	0	0	0	0.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRM2	0	0	0.36	0.36	0	0.36	0	0	0.36	1.87	0	0.36	0	0	0.36	0	0	0.36	0	0	0.36	0	0	0.36	0	0	0.36	0	0
PRM3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRMT1	2.44	2.44	3.21	3.21	2.44	3.21	3.19	2.44	3.21	2.79	2.44	3.21	2.65	2.44	3.21	2.5	2.44	3.21	2.65	2.44	3.21	2.91	2.44	3.21	2.63	2.44	3.21	3.21	2.44
PRMT10	1.41	1.41	0.6	0.6	1.41	0.6	1.41	1.41	0.6	1.45	1.41	0.6	0.83	1.41	0.6	1.3	1.41	0.6	0.77	1.41	0.6	1.08	1.41	0.6	0.75	1.41	0.6	0.91	1.41
PRMT2	3.95	3.95	4.03	4.03	3.95	4.03	4.66	3.95	4.03	4.35	3.95	4.03	3.8	3.95	4.03	4.09	3.95	4.03	4	3.95	4.03	4.67	3.95	4.03	4.06	3.95	4.03	4.33	3.95
PRMT3	2.51	2.51	2.53	2.53	2.51	2.53	2.47	2.51	2.53	2.18	2.51	2.53	2.06	2.51	2.53	2.01	2.51	2.53	2.17	2.51	2.53	2.01	2.51	2.53	2.1	2.51	2.53	2.22	2.51
PRMT5	3.88	3.88	3.74	3.74	3.88	3.74	3.61	3.88	3.74	2.9	3.88	3.74	3.36	3.88	3.74	3.2	3.88	3.74	3.37	3.88	3.74	3.31	3.88	3.74	3.73	3.88	3.74	3.23	3.88
PRMT5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRMT6	1.45	1.45	1.9	1.9	1.45	1.9	1.99	1.45	1.9	1.77	1.45	1.9	1.2	1.45	1.9	1.09	1.45	1.9	1.14	1.45	1.9	2.41	1.45	1.9	1.68	1.45	1.9	1.61	1.45
PRMT7	2.81	2.81	2.97	2.97	2.81	2.97	2.97	2.81	2.97	2.63	2.81	2.97	2.46	2.81	2.97	2.54	2.81	2.97	2.34	2.81	2.97	2.86	2.81	2.97	2.69	2.81	2.97	2.69	2.81
PRMT8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRND	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRNP	5.49	5.49	4.97	4.97	5.49	4.97	5.45	5.49	4.97	5.77	5.49	4.97	4.41	5.49	4.97	4.27	5.49	4.97	4.73	5.49	4.97	5.7	5.49	4.97	4.47	5.49	4.97	5.27	5.49
PRNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROB1	0.65	0.65	0.79	0.79	0.65	0.79	0.73	0.65	0.79	0	0.65	0.79	0.81	0.65	0.79	0.58	0.65	0.79	0.81	0.65	0.79	1.48	0.65	0.79	0	0.65	0.79	1.58	0.65
PROC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROCA1	0.08	0.08	1.19	1.19	0.08	1.19	1.53	0.08	1.19	1.9	0.08	1.19	0.41	0.08	1.19	0.82	0.08	1.19	0.18	0.08	1.19	1.85	0.08	1.19	0.71	0.08	1.19	0.57	0.08
PROCR	3.95	3.95	6.41	6.41	3.95	6.41	5.76	3.95	6.41	4.07	3.95	6.41	4.14	3.95	6.41	4.19	3.95	6.41	4.68	3.95	6.41	4.62	3.95	6.41	5.16	3.95	6.41	5.24	3.95
PRODH	0	0	0.94	0.94	0	0.94	0	0	0.94	0	0	0.94	2.02	0	0.94	0.99	0	0.94	0.57	0	0.94	0	0	0.94	2.18	0	0.94	0	0
PRODH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROK1	0	0	1.17	1.17	0	1.17	0	0	1.17	0	0	1.17	0	0	1.17	0.99	0	1.17	0.03	0	1.17	2.03	0	1.17	0	0	1.17	0	0
PROK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROKR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROKR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROM2	0.18	0.18	0	0	0.18	0	0	0.18	0	0	0.18	0	0	0.18	0	0	0.18	0	0	0.18	0	0	0.18	0	0	0.18	0	0	0.18
PROP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROS1	4.28	4.28	4.58	4.58	4.28	4.58	4.67	4.28	4.58	4.21	4.28	4.58	4.2	4.28	4.58	3.86	4.28	4.58	3.96	4.28	4.58	5.03	4.28	4.58	3.43	4.28	4.58	4.09	4.28
PROSC	4.51	4.51	4.51	4.51	4.51	4.51	4.86	4.51	4.51	4.18	4.51	4.51	4.28	4.51	4.51	4.64	4.51	4.51	4.65	4.51	4.51	4.51	4.51	4.51	4.71	4.51	4.51	4.23	4.51
PROSER1	4.81	4.81	4.39	4.39	4.81	4.39	4.18	4.81	4.39	4.43	4.81	4.39	4.64	4.81	4.39	4.42	4.81	4.39	4.43	4.81	4.39	4.18	4.81	4.39	4.34	4.81	4.39	4.38	4.81
PROSER2	1.77	1.77	1.59	1.59	1.77	1.59	1.23	1.77	1.59	0.04	1.77	1.59	0.78	1.77	1.59	1.34	1.77	1.59	0.59	1.77	1.59	0.98	1.77	1.59	1.58	1.77	1.59	0.23	1.77
PROSER2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROX1	3.98	3.98	0.57	0.57	3.98	0.57	2.25	3.98	0.57	1.15	3.98	0.57	0	3.98	0.57	0	3.98	0.57	0.35	3.98	0.57	1.39	3.98	0.57	0	3.98	0.57	1.15	3.98
PROX1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRPF18	0.35	0.35	0.79	0.79	0.35	0.79	0.8	0.35	0.79	0.49	0.35	0.79	0.61	0.35	0.79	0.78	0.35	0.79	0.78	0.35	0.79	0.55	0.35	0.79	0.86	0.35	0.79	0.48	0.35
PRPF19	3.09	3.09	3.24	3.24	3.09	3.24	3.09	3.09	3.24	2.58	3.09	3.24	2.7	3.09	3.24	2.54	3.09	3.24	2.59	3.09	3.24	3.02	3.09	3.24	2.76	3.09	3.24	2.93	3.09
PRPF3	3.02	3.02	2.71	2.71	3.02	2.71	3.29	3.02	2.71	2.92	3.02	2.71	2.85	3.02	2.71	3.03	3.02	2.71	2.85	3.02	2.71	2.86	3.02	2.71	2.95	3.02	2.71	3.17	3.02
PRPF31	2.42	2.42	2.01	2.01	2.42	2.01	2.06	2.42	2.01	1.93	2.42	2.01	1.7	2.42	2.01	1.78	2.42	2.01	1.6	2.42	2.01	1.95	2.42	2.01	1.82	2.42	2.01	1.7	2.42
PRPF38A	4.14	4.14	3.73	3.73	4.14	3.73	4.39	4.14	3.73	3.69	4.14	3.73	3.71	4.14	3.73	3.78	4.14	3.73	3.71	4.14	3.73	3.76	4.14	3.73	3.62	4.14	3.73	3.95	4.14
PRPF38B	3.12	3.12	2.88	2.88	3.12	2.88	3.04	3.12	2.88	3.17	3.12	2.88	3.04	3.12	2.88	3.18	3.12	2.88	2.98	3.12	2.88	2.79	3.12	2.88	2.93	3.12	2.88	2.99	3.12
PRPF39	3.91	3.91	3.37	3.37	3.91	3.37	3.6	3.91	3.37	3.37	3.91	3.37	3.41	3.91	3.37	3.64	3.91	3.37	3.58	3.91	3.37	3.32	3.91	3.37	3.26	3.91	3.37	3.34	3.91
PRPF4	3.44	3.44	3.28	3.28	3.44	3.28	3.29	3.44	3.28	3.26	3.44	3.28	3.02	3.44	3.28	3.18	3.44	3.28	2.98	3.44	3.28	3.03	3.44	3.28	3.05	3.44	3.28	2.83	3.44
PRPF40A	5.56	5.56	5.31	5.31	5.56	5.31	5.27	5.56	5.31	5.41	5.56	5.31	5.33	5.56	5.31	5.28	5.56	5.31	5.22	5.56	5.31	5.16	5.56	5.31	5.01	5.56	5.31	5.16	5.56
PRPF40B	3.63	3.63	3.9	3.9	3.63	3.9	3.86	3.63	3.9	3.31	3.63	3.9	3.14	3.63	3.9	3.28	3.63	3.9	3.17	3.63	3.9	3.81	3.63	3.9	3.56	3.63	3.9	4.14	3.63
PRPF4B	5.9	5.9	5.38	5.38	5.9	5.38	5.42	5.9	5.38	5.23	5.9	5.38	5.61	5.9	5.38	5.63	5.9	5.38	5.38	5.9	5.38	5.19	5.9	5.38	5.38	5.9	5.38	5.42	5.9
PRPF6	4.32	4.32	3.99	3.99	4.32	3.99	4.29	4.32	3.99	3.81	4.32	3.99	3.52	4.32	3.99	3.77	4.32	3.99	3.59	4.32	3.99	4.07	4.32	3.99	3.95	4.32	3.99	3.86	4.32
PRPF8	6.47	6.47	6.32	6.32	6.47	6.32	6.05	6.47	6.32	5.85	6.47	6.32	6.01	6.47	6.32	5.85	6.47	6.32	5.88	6.47	6.32	6.04	6.47	6.32	6.15	6.47	6.32	6.16	6.47
PRPH	0	0	0	0	0	0	1.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03	0	0	0	0	0	0.74	0
PRPH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRPS1	3.2	3.2	3.47	3.47	3.2	3.47	3.36	3.2	3.47	3.19	3.2	3.47	3.03	3.2	3.47	2.91	3.2	3.47	3.6	3.2	3.47	3.27	3.2	3.47	2.69	3.2	3.47	3.51	3.2
PRPS1L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRPS2	0.2	0.2	0.65	0.65	0.2	0.65	0.55	0.2	0.65	0.83	0.2	0.65	0.53	0.2	0.65	0.01	0.2	0.65	0.08	0.2	0.65	0.82	0.2	0.65	1.35	0.2	0.65	0.67	0.2
PRPSAP1	4.27	4.27	4.28	4.28	4.27	4.28	4.84	4.27	4.28	4.29	4.27	4.28	4.49	4.27	4.28	4.55	4.27	4.28	4.25	4.27	4.28	4.53	4.27	4.28	4.92	4.27	4.28	4.71	4.27
PRPSAP2	3.41	3.41	3.38	3.38	3.41	3.38	3.85	3.41	3.38	3.25	3.41	3.38	2.96	3.41	3.38	3.33	3.41	3.38	3.43	3.41	3.38	3.5	3.41	3.38	3.1	3.41	3.38	3.63	3.41
PRR11	0	0	0	0	0	0	0	0	0	0.61	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0
PRR12	4.19	4.19	4.69	4.69	4.19	4.69	4.6	4.19	4.69	4.5	4.19	4.69	4.21	4.19	4.69	3.63	4.19	4.69	3.66	4.19	4.69	4.69	4.19	4.69	4.21	4.19	4.69	4.71	4.19
PRR13	5.24	5.24	5.21	5.21	5.24	5.21	4.57	5.24	5.21	5.18	5.24	5.21	4.62	5.24	5.21	4.71	5.24	5.21	4.66	5.24	5.21	4.71	5.24	5.21	4.92	5.24	5.21	4.33	5.24
PRR14	4.6	4.6	4.52	4.52	4.6	4.52	4.85	4.6	4.52	4.65	4.6	4.52	4.44	4.6	4.52	4.28	4.6	4.52	4.29	4.6	4.52	4.56	4.6	4.52	4.56	4.6	4.52	4.73	4.6
PRR14L	4.61	4.61	4.55	4.55	4.61	4.55	4.18	4.61	4.55	4.28	4.61	4.55	4.24	4.61	4.55	4.55	4.61	4.55	4.21	4.61	4.55	4.22	4.61	4.55	4.37	4.61	4.55	4.09	4.61
PRR15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR15L	1.78	1.78	0	0	1.78	0	0	1.78	0	0	1.78	0	0	1.78	0	0	1.78	0	0	1.78	0	0	1.78	0	0	1.78	0	0	1.78
PRR16	3.03	3.03	2.75	2.75	3.03	2.75	1.92	3.03	2.75	1.98	3.03	2.75	3.33	3.03	2.75	2.51	3.03	2.75	1.38	3.03	2.75	1.99	3.03	2.75	3.71	3.03	2.75	1.45	3.03
PRR18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR20A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR20B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR20C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR20D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR20E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR23A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR23B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR23C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR24	3.8	3.8	3.8	3.8	3.8	3.8	3.77	3.8	3.8	3.69	3.8	3.8	2.53	3.8	3.8	2.77	3.8	3.8	2.45	3.8	3.8	4.03	3.8	3.8	2.74	3.8	3.8	3.82	3.8
PRR25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR26	0	0	0.04	0.04	0	0.04	0.35	0	0.04	1.84	0	0.04	1.92	0	0.04	1.65	0	0.04	2.29	0	0.04	0	0	0.04	2.39	0	0.04	2.25	0
PRR3	0.93	0.93	0.53	0.53	0.93	0.53	1.06	0.93	0.53	0.17	0.93	0.53	0.45	0.93	0.53	0.4	0.93	0.53	0	0.93	0.53	0.3	0.93	0.53	0.51	0.93	0.53	0.48	0.93
PRR4	1.8	1.8	0	0	1.8	0	0	1.8	0	0	1.8	0	0	1.8	0	0	1.8	0	0	1.8	0	0	1.8	0	0	1.8	0	0	1.8
PRR5	0.62	0.62	1.4	1.4	0.62	1.4	0.61	0.62	1.4	0.67	0.62	1.4	0.88	0.62	1.4	1.23	0.62	1.4	1.46	0.62	1.4	1.27	0.62	1.4	1.19	0.62	1.4	1.04	0.62
PRR5L	0	0	0	0	0	0	0	0	0	0.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR7-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRRC1	3.34	3.34	3.14	3.14	3.34	3.14	3.67	3.34	3.14	3.37	3.34	3.14	3.28	3.34	3.14	3.25	3.34	3.14	3.1	3.34	3.14	3.53	3.34	3.14	3.11	3.34	3.14	3.4	3.34
PRRC2A	5.53	5.53	5.8	5.8	5.53	5.8	5.67	5.53	5.8	5.36	5.53	5.8	5.61	5.53	5.8	5.43	5.53	5.8	5.59	5.53	5.8	5.76	5.53	5.8	5.69	5.53	5.8	5.87	5.53
PRRC2B	6.56	6.56	6.23	6.23	6.56	6.23	6.02	6.56	6.23	5.77	6.56	6.23	6.13	6.56	6.23	6.2	6.56	6.23	6.08	6.56	6.23	6.34	6.56	6.23	6.26	6.56	6.23	6.09	6.56
PRRC2C	5.91	5.91	5.53	5.53	5.91	5.53	5.71	5.91	5.53	5.67	5.91	5.53	5.74	5.91	5.53	5.56	5.91	5.53	5.53	5.91	5.53	5.68	5.91	5.53	5.58	5.91	5.53	5.55	5.91
PRRG1	5.01	5.01	5.01	5.01	5.01	5.01	5.24	5.01	5.01	5.07	5.01	5.01	5.75	5.01	5.01	5.77	5.01	5.01	5.67	5.01	5.01	4.75	5.01	5.01	4.98	5.01	5.01	4.99	5.01
PRRG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRRG3	1.7	1.7	0	0	1.7	0	0.88	1.7	0	0.3	1.7	0	0	1.7	0	0	1.7	0	0	1.7	0	1.94	1.7	0	0	1.7	0	0.6	1.7
PRRG4	1.61	1.61	1.09	1.09	1.61	1.09	0.71	1.61	1.09	1.2	1.61	1.09	1.89	1.61	1.09	1.24	1.61	1.09	1.6	1.61	1.09	1.07	1.61	1.09	1.79	1.61	1.09	0	1.61
PRRT1	1.99	1.99	1.13	1.13	1.99	1.13	2.24	1.99	1.13	1.03	1.99	1.13	0.4	1.99	1.13	0.85	1.99	1.13	0.54	1.99	1.13	2.52	1.99	1.13	0.64	1.99	1.13	2.01	1.99
PRRT2	1.18	1.18	1.12	1.12	1.18	1.12	3.2	1.18	1.12	1.94	1.18	1.12	0.29	1.18	1.12	0	1.18	1.12	0	1.18	1.12	3.16	1.18	1.12	0.24	1.18	1.12	3.38	1.18
PRRT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRRT3-AS1	0	0	0.33	0.33	0	0.33	0	0	0.33	0	0	0.33	0	0	0.33	0.96	0	0.33	0.3	0	0.33	0	0	0.33	1.17	0	0.33	0	0
PRRT4	0	0	3.23	3.23	0	3.23	0.15	0	3.23	0.96	0	3.23	2.76	0	3.23	3	0	3.23	2.51	0	3.23	0.44	0	3.23	3.98	0	3.23	2.43	0
PRRX1	4.28	4.28	4.2	4.2	4.28	4.2	5.92	4.28	4.2	5.19	4.28	4.2	3.95	4.28	4.2	3.7	4.28	4.2	3.45	4.28	4.2	5.5	4.28	4.2	3.1	4.28	4.2	5.17	4.28
PRRX2	2.23	2.23	1.32	1.32	2.23	1.32	1.88	2.23	1.32	1.77	2.23	1.32	0	2.23	1.32	0	2.23	1.32	0	2.23	1.32	1.65	2.23	1.32	0	2.23	1.32	1.87	2.23
PRSS1	0	0	0	0	0	0	0	0	0	0	0	0	1.82	0	0	0	0	0	3.13	0	0	0	0	0	0	0	0	2.05	0
PRSS12	3.82	3.82	0	0	3.82	0	2.59	3.82	0	0	3.82	0	0	3.82	0	0	3.82	0	0	3.82	0	1.66	3.82	0	0	3.82	0	0.66	3.82
PRSS16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS23	6.52	6.52	4.02	4.02	6.52	4.02	5.49	6.52	4.02	6.1	6.52	4.02	5.9	6.52	4.02	4.87	6.52	4.02	5.02	6.52	4.02	6.66	6.52	4.02	4.78	6.52	4.02	6.83	6.52
PRSS27	1.27	1.27	0.52	0.52	1.27	0.52	0.85	1.27	0.52	0.42	1.27	0.52	0	1.27	0.52	0.25	1.27	0.52	0	1.27	0.52	0.51	1.27	0.52	0	1.27	0.52	0.05	1.27
PRSS29P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0	0	0	0	0	0	0	0	0	0
PRSS33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS35	0	0	0	0	0	0	4.15	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	3.72	0	0	0	0	0	1.41	0
PRSS36	0.46	0.46	2.57	2.57	0.46	2.57	0.92	0.46	2.57	2.38	0.46	2.57	0.26	0.46	2.57	0.93	0.46	2.57	1.09	0.46	2.57	1.33	0.46	2.57	0.27	0.46	2.57	0.36	0.46
PRSS37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0
PRSS51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
