GSM329408	GSM329409	GSM329410	GSM329411	GSM329414	GSM329417	GSM329419	GSM329421	GSM329425	GSM329427
MUC3	A	A	A	A	A	A	A	A	M	A
MUC3A	P	A	A	P	P	A	P	A	P	A
MUC3B	A	A	A	A	A	A	A	A	A	A
MUC4	A	A	P	A	P	P	P	P	P	A
MUC5AC	A	A	A	A	A	A	A	A	A	A
MUC5B	A	A	A	A	A	A	A	A	A	A
MUC6	A	A	A	A	A	A	A	A	A	A
MUC7	A	A	A	A	A	A	A	A	A	A
MUC8	A	A	A	A	A	A	A	P	A	A
MUCL1	A	A	A	A	A	A	A	A	A	A
MUL1	A	A	A	A	A	A	P	A	P	A
MUM1	P	P	P	A	P	P	P	P	P	P
MUM1L1	A	A	A	A	A	A	A	A	A	A
MURC	M	M	A	A	A	A	A	A	A	A
MUS81	P	P	P	P	P	P	P	P	P	P
MUSK	A	A	A	A	A	A	P	A	A	A
MUSTN1	A	P	A	A	A	A	P	P	P	P
MUT	P	P	P	P	P	P	P	P	P	P
MUTYH	P	P	P	P	P	P	P	P	P	P
MVB12A	P	P	P	A	P	P	A	P	P	P
MVB12B	A	P	A	A	A	P	P	P	P	P
MVD	A	A	A	A	A	A	A	A	A	A
MVK	P	P	P	P	P	P	P	P	P	P
MVP	A	P	A	P	P	P	P	P	P	P
MX1	P	P	P	M	P	P	P	P	P	P
MX2	P	P	P	P	P	P	P	P	P	P
MXD1	P	P	A	P	P	P	P	P	P	P
MXD3	P	A	A	A	A	A	M	A	P	P
MXI1	P	P	P	P	P	P	P	P	P	P
MXRA5	A	A	A	A	A	A	A	A	A	A
MXRA7	P	P	A	M	P	P	P	P	P	P
MXRA8	A	A	A	A	A	P	A	P	A	A
MYADM	P	P	P	P	P	P	P	P	P	P
MYADML2	A	A	A	A	A	A	A	A	A	A
MYB	P	P	P	P	P	P	P	P	P	P
MYBBP1A	P	P	P	A	P	P	A	P	P	P
MYBL1	P	P	P	M	P	P	P	A	P	P
MYBL2	P	P	P	A	P	P	P	A	P	P
MYBPC1	A	A	A	A	A	A	M	A	A	A
MYBPC2	P	P	A	A	P	P	A	A	P	A
MYBPC3	A	A	A	A	A	A	A	A	A	A
MYBPH	P	A	A	A	A	A	A	A	A	A
MYC	P	P	P	P	P	P	P	P	P	P
MYCBP2	P	P	P	P	P	P	P	P	P	P
MYCBPAP	A	A	A	A	A	A	A	A	A	A
MYCL	A	A	A	P	A	A	A	A	A	A
MYCLP1	A	A	A	A	A	A	A	A	A	A
MYCN	A	M	A	A	A	A	P	A	A	P
MYCNOS	A	A	A	A	A	P	A	A	A	A
MYCT1	A	M	P	P	P	P	A	A	A	P
MYD88	P	P	P	P	P	P	P	P	P	P
MYEF2	A	P	P	A	P	P	P	P	M	P
MYEOV	A	A	A	A	A	A	A	A	A	A
MYEOV2	P	P	P	P	P	P	P	P	P	P
MYF5	A	A	A	A	A	A	A	A	A	A
MYF6	P	A	A	A	A	A	A	A	A	A
MYH1	A	A	A	A	A	A	A	A	A	A
MYH10	P	P	A	P	P	P	P	P	P	P
MYH11	A	A	P	A	A	A	A	P	A	A
MYH13	A	A	A	A	A	A	A	A	A	A
MYH14	A	A	A	A	M	A	A	A	A	A
MYH15	A	A	P	A	A	A	P	A	P	P
MYH16	A	A	A	A	A	A	A	A	A	A
MYH2	A	A	A	A	A	A	A	A	A	A
MYH3	A	A	A	M	A	A	A	A	A	A
MYH4	A	A	A	A	A	A	A	A	A	A
MYH6	A	A	A	A	A	A	A	A	A	A
MYH7	A	A	A	A	A	A	A	A	A	A
MYH7B	A	A	A	A	A	A	A	A	A	A
MYH8	A	A	A	A	A	A	A	A	A	A
MYH9	P	P	P	P	P	P	P	P	P	P
MYL1	A	A	A	A	A	A	A	A	A	A
MYL10	A	A	A	A	A	A	A	A	A	A
MYL12A	P	P	P	P	P	P	P	P	P	P
MYL12B	P	P	P	P	P	P	P	P	P	P
MYL2	A	A	A	A	A	A	A	A	A	A
MYL3	A	A	A	A	A	A	A	P	A	A
MYL4	P	P	P	P	P	P	P	P	P	P
MYL5	P	P	A	A	M	A	P	P	P	A
MYL6	P	P	P	P	P	P	P	P	P	P
MYL6B	P	P	P	P	P	P	P	P	P	P
MYL7	A	A	A	A	A	A	A	A	A	A
MYL9	A	A	A	A	A	A	A	A	A	A
MYLIP	P	P	P	P	P	P	P	P	P	P
MYLK	P	P	A	A	A	A	P	P	P	A
MYLK2	A	A	A	A	A	A	A	A	A	A
MYLK3	P	P	A	A	P	A	P	A	A	A
MYLK4	A	A	P	A	A	P	A	P	A	A
MYLK-AS1	A	A	A	A	A	M	A	P	P	A
MYLPF	A	A	A	A	A	A	A	A	M	A
MYNN	P	P	P	P	P	P	P	P	P	P
MYO10	A	P	A	A	A	A	P	P	P	A
MYO15A	P	A	A	A	A	A	P	A	P	A
MYO15B	A	P	A	P	P	P	P	P	P	P
MYO16	A	A	A	P	A	A	A	A	A	A
MYO18A	P	P	P	P	P	P	P	P	P	P
MYO18B	A	A	A	A	A	A	A	P	P	P
MYO19	P	P	P	P	P	P	P	P	P	P
MYO1A	A	A	A	A	A	P	A	A	P	A
MYO1B	A	M	A	P	A	A	A	A	A	A
MYO1C	P	P	A	M	P	P	P	P	A	A
MYO1D	A	A	A	A	A	A	A	A	A	A
MYO1E	A	A	P	A	P	A	A	A	A	A
MYO1F	A	P	P	P	P	P	P	P	P	P
MYO1G	P	P	P	P	P	P	P	P	P	P
MYO1H	A	A	A	A	A	A	A	A	A	P
MYO3A	P	P	A	A	A	P	A	A	A	A
MYO3B	A	A	P	A	A	A	A	P	A	A
MYO5A	P	P	P	P	P	P	P	P	P	P
MYO5B	A	P	P	A	A	A	A	A	A	A
MYO5C	P	P	P	A	P	P	P	P	P	P
MYO6	P	P	A	A	P	A	P	A	P	A
MYO7A	A	A	A	A	A	A	A	A	A	A
MYO7B	A	M	A	A	A	A	A	P	P	A
MYO9A	P	P	P	P	P	P	A	P	P	P
MYO9B	P	P	P	P	P	P	P	P	P	P
MYOC	A	A	A	A	P	A	A	P	A	P
MYOCD	A	A	A	A	A	A	A	A	A	A
MYOD1	A	A	A	A	A	A	A	A	A	A
MYOF	A	A	A	P	P	P	A	P	P	A
MYOG	A	A	A	A	A	A	A	A	A	A
MYOM1	A	A	A	A	A	A	A	A	A	A
MYOM2	A	A	A	A	A	A	A	A	A	A
MYOM3	P	P	A	A	M	P	A	P	P	A
MYOT	A	A	A	A	A	A	A	A	A	A
MYOZ1	A	A	A	A	A	A	A	P	A	A
MYOZ2	A	A	A	A	A	A	A	A	A	A
MYOZ3	A	A	A	A	A	A	A	A	A	A
MYPN	A	A	A	A	A	A	A	A	A	A
MYPOP	P	P	P	P	P	P	P	P	P	P
MYRF	M	P	A	A	A	A	P	A	P	A
MYRFL	A	A	A	A	A	A	A	A	A	A
MYRIP	P	A	A	A	A	A	P	P	P	P
MYSM1	P	P	P	P	P	P	P	P	P	P
MYT1	A	A	A	A	A	A	A	M	A	A
MYT1L	A	A	P	A	A	A	P	A	M	A
MYZAP	A	A	A	A	A	A	P	P	M	P
MZB1	P	P	P	P	P	P	P	P	P	P
MZF1	P	P	P	P	P	P	P	P	P	P
MZT1	P	P	P	P	P	P	P	P	P	P
MZT2A	P	P	P	P	P	P	P	P	P	P
MZT2B	P	P	A	A	P	P	P	P	P	P
N4BP1	P	P	P	P	P	P	P	P	P	P
N4BP2	P	P	P	M	P	P	P	P	P	P
N4BP2L1	P	P	A	A	P	P	P	P	P	P
N4BP2L2	P	P	P	P	P	P	P	P	P	P
N4BP2L2-IT2	A	A	A	A	A	A	A	A	A	A
N4BP3	P	P	P	A	P	P	P	A	P	A
N6AMT1	P	P	A	A	A	P	P	P	A	P
N6AMT2	P	P	P	A	P	P	A	P	P	P
NAA10	P	P	P	P	P	P	P	P	P	P
NAA11	A	A	A	A	A	A	A	A	A	A
NAA15	P	P	P	A	P	P	P	P	P	P
NAA16	P	P	P	P	P	P	P	P	P	P
NAA20	P	P	P	P	P	P	P	P	P	P
NAA25	P	P	P	A	P	P	P	P	P	P
NAA30	P	P	P	P	P	P	P	P	P	P
NAA35	P	P	P	P	P	P	P	P	P	P
NAA38	P	P	P	P	P	P	P	P	P	P
NAA40	P	P	P	P	P	P	P	P	P	P
NAA50	P	P	P	P	P	P	P	P	P	P
NAA60	P	P	P	P	P	P	P	P	P	P
NAAA	P	P	P	P	P	P	P	P	P	P
NAALAD2	A	A	A	A	A	A	A	A	A	P
NAALADL1	P	M	P	A	P	P	P	P	P	A
NAALADL2	A	A	A	P	A	A	P	A	A	A
NAALADL2-AS3	A	A	A	A	A	A	A	A	A	A
NAB1	P	P	P	P	P	P	P	P	P	P
NAB2	A	A	A	A	A	A	A	A	P	A
NABP1	P	A	P	A	P	P	P	P	P	P
NABP2	P	P	P	A	P	P	A	P	P	P
NACA	P	P	P	P	P	P	P	P	P	P
NACA2	A	P	A	A	A	A	A	A	M	A
NACAD	A	A	A	A	A	A	A	A	A	A
NACAP1	P	P	P	P	P	P	P	P	P	P
NACC1	P	P	P	P	P	P	P	P	P	P
NACC2	A	P	A	P	P	P	P	P	A	A
NADK	P	P	P	P	P	P	P	P	P	P
NADK2	P	P	P	P	P	P	P	P	P	P
NADK2-AS1	A	A	A	A	A	A	A	A	A	A
NADSYN1	P	P	P	P	P	P	P	P	P	P
NAE1	P	P	P	P	P	P	P	P	P	P
NAF1	P	P	P	A	P	P	P	P	P	P
NAG18	A	A	A	A	A	A	A	A	A	A
NAGA	P	P	P	P	P	P	P	P	P	P
NAGK	P	P	P	P	P	P	P	P	P	P
NAGLU	P	P	A	A	P	P	P	P	P	P
NAGPA	P	P	P	P	P	P	P	P	P	P
NAGS	A	A	A	A	A	A	A	A	A	A
NAIF1	A	P	A	A	P	P	P	P	P	A
NAIP	P	P	A	P	P	P	P	P	P	P
NALCN	A	A	A	A	A	A	A	A	A	A
NALCN-AS1	A	A	A	A	A	A	A	A	A	A
NAMPT	P	P	P	P	P	P	P	P	P	P
NANOG	A	A	A	A	A	A	A	A	A	A
NANOS1	A	A	P	A	P	A	A	A	A	A
NANOS2	A	A	A	A	A	A	A	A	A	A
NANOS3	A	A	A	A	A	A	A	A	A	A
NANP	P	P	M	A	P	P	P	A	P	P
NANS	P	P	P	P	P	P	P	P	P	P
NAP1L1	P	P	P	P	P	P	P	P	P	P
NAP1L2	P	A	A	A	A	P	A	A	A	A
NAP1L3	P	P	A	A	A	A	P	A	A	A
NAP1L4	P	P	P	P	P	P	P	P	P	P
NAP1L5	P	P	P	P	P	P	P	P	P	P
NAPA	P	P	P	P	P	P	P	P	P	P
NAPA-AS1	A	A	A	A	A	P	A	A	A	A
NAPB	P	P	A	A	P	P	P	P	P	A
NAPEPLD	P	P	A	A	P	P	P	P	P	P
NAPG	P	P	P	A	P	P	P	P	P	P
NAPRT	P	P	A	P	P	P	P	P	P	P
NAPSA	P	A	A	A	A	P	A	A	A	A
NAPSB	P	P	P	P	P	P	P	A	P	A
NARF	P	P	P	P	P	P	P	P	P	P
NARFL	P	P	P	A	P	A	A	A	A	A
NARR	A	P	A	P	P	P	P	P	P	P
NARS	P	P	P	P	P	P	P	P	P	P
NARS2	P	P	P	M	P	P	P	P	P	P
NASP	P	P	P	P	P	P	P	P	P	P
NAT1	P	P	P	A	P	P	P	P	P	P
NAT10	P	P	P	P	P	P	P	P	P	P
NAT14	P	P	P	A	P	A	A	P	P	P
NAT16	A	P	P	A	P	P	P	A	A	M
NAT2	A	A	A	A	A	A	A	A	A	A
NAT6	A	A	A	A	P	A	P	A	A	A
NAT8	A	A	A	A	A	A	A	A	A	A
NAT8B	A	A	A	A	A	A	A	A	A	A
NAT8L	A	A	A	A	P	A	A	A	P	M
NAT9	P	P	P	P	P	P	P	P	P	P
NATD1	A	P	A	P	P	A	P	P	P	P
NAV1	P	P	A	A	M	A	P	P	P	A
NAV2	A	P	A	A	A	A	P	A	P	A
NAV2-AS2	A	A	A	A	A	A	A	A	A	A
NAV2-AS4	A	A	A	A	A	A	A	A	A	A
NAV2-AS5	A	A	A	A	A	A	A	A	A	A
NAV2-IT1	A	A	A	A	A	A	A	A	A	A
NAV3	A	A	A	A	A	A	A	A	A	A
NBAS	P	P	P	P	P	P	P	P	P	P
NBEA	P	P	A	P	P	P	A	A	M	A
NBEAL1	P	P	P	P	P	P	P	P	P	P
NBEAL2	P	P	P	P	P	P	P	P	P	P
NBEAP1	A	A	A	A	A	A	A	A	M	A
NBL1	A	A	A	A	P	A	A	A	A	A
NBN	P	P	P	P	P	P	P	P	P	P
NBPF1	P	P	P	P	P	P	P	P	P	P
NBPF10	P	P	P	P	P	P	P	P	P	P
NBPF20	P	P	P	A	P	P	P	P	P	P
NBPF3	A	P	A	A	P	P	P	P	P	A
NBPF4	A	M	P	A	A	A	A	A	A	A
NBPF8	A	M	A	A	A	A	P	A	P	A
NBR1	P	P	P	P	P	P	P	P	P	P
NBR2	P	A	P	A	P	P	P	P	P	A
NCALD	A	A	A	A	A	A	A	A	P	P
NCAM1	P	P	A	P	P	A	A	P	P	A
NCAM2	A	A	A	A	A	A	A	A	A	A
NCAN	A	A	A	P	A	A	A	A	A	A
NCAPD2	P	P	P	P	P	P	P	P	P	P
NCAPD3	P	P	P	A	P	P	P	P	P	P
NCAPG	P	P	P	P	P	P	P	P	P	P
NCAPG2	P	P	P	P	P	P	P	P	P	P
NCAPH	P	P	P	A	P	P	P	A	P	P
NCAPH2	P	P	P	P	P	P	P	P	P	M
NCBP1	P	P	P	A	P	P	P	P	P	P
NCBP2	P	P	P	P	P	P	P	P	P	P
NCBP2-AS2	P	P	P	P	P	P	P	P	P	P
NCDN	P	P	P	P	P	P	A	P	P	A
NCEH1	P	P	P	P	P	P	P	P	P	A
NCF1	P	P	P	P	P	P	P	P	P	P
NCF2	A	P	A	P	P	P	P	P	P	P
NCF4	P	P	P	P	P	P	P	P	P	P
NCK1	P	P	P	M	P	P	P	P	P	P
NCK1-AS1	P	P	P	A	P	P	P	P	P	P
NCK2	P	A	A	M	P	P	P	P	P	P
NCKAP1	P	P	A	A	P	P	P	A	A	A
NCKAP1L	P	P	P	P	P	P	P	P	P	P
NCKAP5	A	A	A	A	A	A	A	A	P	A
NCKAP5L	A	A	A	A	A	A	A	A	P	A
NCKIPSD	P	P	P	P	P	P	P	P	P	P
NCL	P	P	P	P	P	P	P	P	P	P
NCLN	P	P	P	P	P	P	P	P	P	P
NCOA1	P	P	P	P	P	P	P	P	P	P
NCOA2	P	P	P	P	P	P	P	P	P	P
NCOA3	P	P	P	P	P	P	P	P	P	P
NCOA4	P	P	P	P	P	P	P	P	P	P
NCOA5	P	P	P	A	P	P	P	P	P	P
NCOA6	P	P	P	P	P	P	P	P	P	P
NCOA7	P	P	P	P	P	P	P	P	P	P
NCOR1	P	P	P	P	P	P	P	P	P	P
NCOR2	P	P	P	P	P	P	P	P	P	P
NCR1	A	A	A	A	A	A	A	A	A	A
NCR2	A	P	M	A	P	P	A	P	A	A
NCR3	A	A	A	A	A	A	A	A	A	A
NCR3LG1	P	P	P	A	P	P	P	A	A	A
NCRNA00185	A	A	A	P	A	A	A	A	A	M
NCS1	A	P	A	A	P	A	P	A	A	A
NCSTN	P	P	P	P	P	P	P	P	P	P
ND2	P	P	P	P	P	P	P	P	P	P
ND3	P	P	P	P	P	P	P	P	P	P
ND4	P	P	P	P	P	P	P	P	P	P
ND6	P	P	P	P	P	P	P	P	P	P
NDC1	P	P	P	P	P	P	P	P	P	P
NDC80	P	P	P	P	P	P	P	P	P	P
NDE1	P	P	P	P	P	P	P	P	P	P
NDEL1	P	P	P	P	P	P	P	P	P	P
NDFIP1	P	P	P	P	P	P	P	P	P	P
NDFIP2	P	P	P	P	P	P	P	P	P	P
NDN	A	A	A	A	A	A	A	A	A	A
NDNF	A	P	A	A	A	A	A	A	A	A
NDNL2	P	P	P	P	P	P	P	P	P	P
NDOR1	P	P	P	A	A	P	P	P	P	P
NDP	A	A	A	A	A	A	A	A	M	A
NDRG1	P	P	A	P	P	P	P	P	P	P
NDRG2	A	A	A	A	A	A	A	P	A	A
NDRG3	P	P	P	P	P	P	P	P	P	P
NDRG4	A	A	A	A	A	A	A	A	M	A
NDST1	A	P	A	A	M	P	P	A	P	P
NDST2	P	P	A	A	P	P	P	P	P	P
NDST3	A	A	P	A	A	A	A	A	A	A
NDST4	A	A	A	A	A	A	A	P	A	A
NDUFA1	P	P	P	P	P	P	P	P	P	P
NDUFA10	P	P	P	P	P	P	P	P	P	P
NDUFA11	P	P	P	P	P	P	P	P	P	P
NDUFA12	P	P	P	P	P	P	P	P	P	P
NDUFA13	P	P	P	P	P	P	P	P	P	P
NDUFA2	P	P	P	P	P	P	P	P	P	P
NDUFA3	P	P	P	P	P	P	P	P	P	P
NDUFA4	P	P	P	P	P	P	P	P	P	P
NDUFA4L2	A	A	A	A	A	A	A	A	A	M
NDUFA5	P	P	P	P	P	P	P	P	P	P
NDUFA6	P	P	P	P	P	P	P	P	P	P
NDUFA7	P	P	P	P	P	P	P	P	P	P
NDUFA8	P	P	P	P	P	P	P	P	P	P
NDUFA9	P	P	P	P	P	P	P	P	P	P
NDUFAB1	P	P	P	P	P	P	P	P	P	P
NDUFAF1	P	P	P	P	P	P	A	P	P	P
NDUFAF2	P	P	P	P	P	P	P	P	P	P
NDUFAF3	P	P	P	P	P	P	P	P	P	P
Ndufaf4	A	A	A	A	A	A	A	A	A	A
NDUFAF4	P	P	P	P	P	P	P	P	P	P
NDUFAF5	P	P	P	P	P	P	P	P	P	P
NDUFAF7	P	P	P	P	P	P	P	P	P	P
NDUFB1	P	P	P	P	P	P	P	P	P	P
NDUFB10	P	P	P	P	P	P	P	P	P	P
NDUFB11	P	P	P	P	P	P	P	P	P	P
NDUFB2	P	P	P	P	P	P	P	P	P	P
NDUFB2-AS1	A	A	A	A	A	P	A	A	A	A
NDUFB3	P	P	P	P	P	P	P	P	P	P
NDUFB4	P	P	P	P	P	P	P	P	P	P
NDUFB5	P	P	P	P	P	P	P	P	P	P
NDUFB6	P	P	P	P	P	P	P	P	P	P
NDUFB7	P	P	P	P	P	P	P	P	P	P
NDUFB8	P	P	P	P	P	P	P	P	P	P
NDUFB9	P	P	P	P	P	P	P	P	P	P
NDUFC1	P	P	P	P	P	P	P	P	P	P
NDUFC2	P	P	P	P	P	P	P	P	P	P
NDUFS1	P	P	P	P	P	P	P	P	P	P
NDUFS2	P	P	P	P	P	P	P	P	P	P
NDUFS3	P	P	P	P	P	P	P	P	P	P
NDUFS4	P	P	P	P	P	P	P	P	P	P
NDUFS5	P	P	P	P	P	P	P	P	P	P
NDUFS6	P	P	P	P	P	P	P	P	P	P
NDUFS7	P	P	P	P	P	P	P	P	P	P
NDUFV1	P	P	P	P	P	P	P	P	P	P
NDUFV2	P	P	P	P	P	P	P	P	P	P
NDUFV2-AS1	P	P	P	A	P	P	P	P	P	P
NDUFV3	P	P	P	P	P	P	P	P	P	P
NEB	A	A	A	A	A	A	A	P	P	M
NEBL	A	A	A	A	P	A	P	A	A	M
NEBL-AS1	A	A	A	A	A	A	A	A	A	A
NECAB1	A	A	A	A	A	A	A	A	A	A
NECAB2	A	A	A	A	A	A	A	A	A	A
NECAB3	P	P	P	A	P	P	P	P	P	P
NECAP1	P	P	P	P	P	P	P	P	P	P
NECAP2	P	P	P	P	P	P	P	P	P	P
NEDD1	P	P	P	A	P	P	P	P	P	P
NEDD4	P	A	P	A	P	P	P	P	P	P
NEDD4L	P	P	P	P	P	P	P	P	A	P
NEDD8	P	P	P	P	P	P	P	P	P	P
NEDD9	P	P	P	A	P	P	P	P	P	P
NEFH	A	A	A	A	A	A	P	A	A	A
NEFL	P	A	A	A	A	A	M	A	A	A
NEFM	A	A	A	A	A	A	A	A	A	A
NEGR1	A	A	A	P	A	A	P	P	P	P
NEGR1-IT1	A	P	A	A	A	A	A	A	P	A
NEIL2	A	A	A	A	A	A	A	M	A	P
NEIL3	P	A	P	A	P	P	P	A	P	P
NEK1	P	P	P	P	P	P	P	P	P	P
NEK10	A	A	A	A	A	A	A	A	A	A
NEK11	A	A	A	A	A	P	A	A	A	A
NEK2	P	P	P	A	P	P	P	P	P	P
NEK3	P	P	P	A	P	P	P	P	P	A
NEK4	P	P	P	A	P	P	P	P	P	P
NEK5	A	A	A	P	A	A	A	P	A	A
NEK6	A	P	A	P	P	P	P	P	P	P
NEK7	P	P	P	P	P	P	P	P	P	P
NEK8	P	P	P	P	A	P	A	P	P	P
NEK9	P	P	P	P	P	P	P	P	P	P
NELFB	P	P	P	P	P	P	P	P	P	P
NELFCD	P	P	P	P	P	P	P	P	P	P
NELL1	A	A	A	A	A	A	A	A	A	A
NELL2	A	M	A	M	M	P	P	P	P	A
NEMF	P	P	P	P	P	P	P	P	P	P
NENF	P	P	P	P	P	P	P	P	P	P
NEO1	A	P	A	P	M	A	P	P	A	A
NES	A	A	A	A	A	A	A	A	A	A
NET1	P	P	P	P	P	P	P	P	P	P
NETO1	A	A	A	A	A	A	A	A	A	A
NETO2	P	P	P	A	P	P	P	P	A	P
NEU1	M	P	A	A	P	P	A	P	P	P
NEU2	A	A	A	A	A	A	A	A	A	A
NEU3	P	P	P	A	P	P	P	P	P	P
NEU4	A	M	A	P	A	A	P	A	P	A
NEURL1	M	A	A	A	P	P	P	P	P	A
NEURL1B	P	A	A	A	A	A	P	P	P	P
NEURL2	A	A	A	A	A	A	A	A	A	A
NEURL3	A	A	A	A	A	A	A	A	A	A
NEURL4	M	A	P	A	P	P	A	P	P	P
NEUROD1	A	A	A	A	A	A	A	A	A	A
NEUROD2	A	A	P	A	P	A	P	A	A	P
NEUROD4	A	A	A	A	A	A	A	A	A	A
NEUROD6	A	A	A	A	A	A	A	A	A	A
NEUROG1	A	A	A	A	A	A	A	A	A	A
NEUROG2	A	A	A	A	A	A	A	A	A	A
NEUROG3	A	A	A	P	A	A	A	A	A	A
NEXN	P	P	A	A	A	P	P	P	P	P
NEXN-AS1	A	A	A	A	A	A	A	A	A	A
NF1	A	A	A	A	A	A	A	P	A	A
NF2	P	P	P	P	P	P	P	P	P	P
NFAM1	A	P	P	P	P	P	P	P	A	A
NFASC	A	A	P	P	A	A	A	P	A	P
NFAT5	P	P	P	P	P	P	P	P	P	P
NFATC1	A	P	P	P	P	P	P	P	P	P
NFATC2	P	M	P	A	P	P	A	P	P	P
NFATC2IP	P	P	P	P	P	P	P	P	P	P
NFATC3	P	P	P	P	P	P	P	P	P	P
NFATC4	P	P	A	P	P	P	P	A	P	A
NFE2	A	P	A	P	P	P	P	P	P	P
NFE2L1	P	P	P	P	P	P	P	P	P	P
NFE2L2	P	P	P	P	P	P	P	P	P	P
NFE2L3	P	M	M	A	P	P	P	A	P	P
NFE4	A	A	A	P	P	A	A	A	A	A
NFIA	P	P	P	A	P	P	P	P	P	A
NFIA-AS2	A	A	A	A	A	A	A	A	A	A
NFIB	P	P	P	A	A	P	A	A	A	A
NFIC	P	P	P	P	P	P	P	P	P	P
NFIL3	P	P	P	P	P	P	P	P	P	P
NFIX	A	A	A	A	A	A	P	A	A	A
NFKB1	P	P	P	P	P	P	P	P	P	P
NFKB2	P	P	A	A	A	P	P	A	A	A
NFKBIA	P	P	P	P	P	P	P	P	P	P
NFKBIB	A	P	P	A	P	A	M	P	P	A
NFKBID	P	P	A	A	P	P	P	P	P	A
NFKBIE	A	P	A	P	P	A	P	A	A	M
NFKBIL1	A	A	A	A	A	A	A	A	A	A
NFKBIZ	P	P	P	P	P	P	P	P	P	P
NFRKB	P	P	P	A	P	P	P	P	P	P
NFS1	P	P	P	M	P	P	P	P	P	P
NFU1	P	P	P	P	P	P	P	P	P	P
NFX1	P	P	P	A	P	P	P	P	P	P
NFXL1	P	P	P	A	P	P	P	P	P	P
NFYA	P	P	P	A	P	P	P	P	P	P
NFYB	P	P	P	P	P	P	P	P	P	P
NFYC	P	P	P	P	P	P	P	P	P	P
NFYC-AS1	A	A	P	A	A	A	P	P	P	A
NGB	A	A	A	A	A	A	A	M	A	A
NGDN	P	P	P	P	P	P	P	P	P	P
NGEF	A	A	A	A	A	A	A	A	A	A
NGF	A	A	A	A	A	A	A	A	A	A
NGFR	A	A	A	A	A	A	A	A	A	A
NGFRAP1	P	P	A	P	P	P	P	P	P	A
NGLY1	P	P	P	P	P	P	P	P	P	P
NGRN	P	P	P	P	P	P	P	P	P	P
NHEG1	A	A	A	A	A	A	A	A	P	A
NHEJ1	P	A	P	A	P	P	A	A	P	A
NHLH1	A	A	A	A	A	A	A	A	A	A
NHLH2	A	P	A	A	P	A	A	A	A	A
NHLRC2	P	P	A	A	M	P	P	P	P	P
NHLRC3	P	P	A	A	P	P	P	P	P	P
NHLRC4	A	A	A	A	P	A	P	A	P	A
NHP2	P	P	P	P	P	P	P	P	P	P
NHP2L1	P	P	P	P	P	P	P	P	P	P
NHP2P2	P	P	A	P	P	M	A	P	P	A
NHS	A	A	A	P	A	A	A	A	A	P
NHSL1	A	P	A	A	P	A	A	P	P	P
NHSL2	A	A	A	A	A	A	A	A	A	A
NICN1	P	P	P	A	P	P	P	P	P	P
NID1	A	P	A	P	A	P	P	A	A	A
NID2	A	A	A	A	A	A	A	A	P	A
NIF3L1	P	P	P	A	P	P	M	P	P	P
NIFK	P	P	P	P	P	P	P	P	P	P
NIFK-AS1	P	P	P	A	P	P	P	P	P	P
NIM1K	A	A	A	A	A	A	A	A	A	A
NIN	P	P	P	P	P	P	P	P	P	P
NINJ1	A	P	A	P	P	P	P	A	P	P
NINJ2	A	P	P	M	P	P	P	P	P	P
NINL	P	P	A	A	P	A	A	P	P	P
NIP7	P	P	P	A	P	P	P	P	P	P
NIPA1	P	P	P	A	P	P	P	P	P	P
NIPA2	P	P	P	P	P	P	P	P	P	P
NIPAL2	P	P	M	A	P	P	P	P	P	M
NIPAL3	P	A	P	A	P	P	P	P	P	P
NIPAL4	A	A	A	A	A	A	A	A	A	A
NIPBL	P	P	P	P	P	P	P	P	P	P
NIPSNAP1	P	P	P	P	P	P	P	P	P	P
NIPSNAP3A	P	P	P	P	P	P	P	P	P	P
NIPSNAP3B	P	A	A	A	A	P	P	P	P	P
NISCH	P	P	P	P	P	P	P	P	P	P
NIT1	P	P	P	A	P	P	P	P	P	P
NIT2	P	P	P	P	P	P	P	P	P	P
NKAIN1	A	A	A	A	A	A	A	A	A	A
NKAIN2	A	A	A	P	A	A	A	A	A	A
NKAIN3	A	A	A	A	A	A	A	A	A	A
NKAIN4	A	P	A	A	A	A	A	A	P	A
NKAP	P	P	P	P	P	P	P	P	P	P
NKAPL	A	P	A	A	A	A	A	A	P	P
NKAPP1	A	A	P	A	A	A	P	A	A	A
NKD1	A	A	A	A	A	A	A	M	A	A
NKD2	A	A	A	A	A	A	A	P	P	P
NKG7	P	P	P	P	P	P	P	P	P	P
NKIRAS1	P	A	A	A	A	P	P	P	P	P
NKIRAS2	P	P	P	A	P	P	P	P	P	P
NKPD1	A	A	P	A	A	P	A	A	M	A
NKRF	P	P	P	A	P	P	A	P	P	P
NKTR	P	P	P	P	P	P	P	P	P	P
NKX1-1	A	A	A	A	A	A	A	A	A	A
NKX2-1	A	A	A	A	A	A	A	A	A	A
NKX2-1-AS1	A	A	A	A	A	A	A	A	A	A
NKX2-2	A	A	A	A	A	A	A	A	A	A
NKX2-3	A	A	A	A	A	A	A	A	A	A
NKX2-5	A	A	A	A	A	A	A	A	A	A
NKX2-8	A	A	A	A	A	A	A	A	A	A
NKX3-1	A	P	P	A	P	A	P	A	A	A
NKX3-2	A	A	A	A	A	P	A	A	A	A
NKX6-1	A	A	A	A	A	A	A	A	A	A
NKX6-2	A	A	A	A	A	A	A	A	A	A
NKX6-3	A	A	A	A	A	A	A	A	A	A
