GTEX.1117F.0226.SM.5GZZ7_Adipose.Subcutaneous	GTEX.111CU.1826.SM.5GZYN_Adipose.Subcutaneous	GTEX.111FC.0226.SM.5N9B8_Adipose.Subcutaneous	GTEX.111VG.2326.SM.5N9BK_Adipose.Subcutaneous	GTEX.111YS.2426.SM.5GZZQ_Adipose.Subcutaneous	GTEX.1122O.2026.SM.5NQ91_Adipose.Subcutaneous	GTEX.1128S.2126.SM.5H12U_Adipose.Subcutaneous	GTEX.113IC.0226.SM.5HL5C_Adipose.Subcutaneous	GTEX.117YX.2226.SM.5EGJJ_Adipose.Subcutaneous	GTEX.11DXW.0326.SM.5H11W_Adipose.Subcutaneous
PTPRM	4.31	4.31	4.48	4.48	4.31	4.48	3.56	4.31	4.48	3.56
PTPRN	0	0	0	0	0	0	0	0	0	0
PTPRN2	0	0	0	0	0	0	0.85	0	0	0.55
PTPRO	0	0	1.81	1.81	0	1.81	0.14	0	1.81	2.62
PTPRQ	0	0	0	0	0	0	0	0	0	0
PTPRR	0	0	0	0	0	0	0	0	0	0
PTPRS	6.91	6.91	7.75	7.75	6.91	7.75	6.08	6.91	7.75	6.55
PTPRT	0	0	0	0	0	0	0	0	0	0
PTPRU	5.13	5.13	4.21	4.21	5.13	4.21	4.15	5.13	4.21	3.6
PTPRZ1	0	0	0	0	0	0	0	0	0	0
PTRF	10.14	10.14	10.75	10.75	10.14	10.75	11.31	10.14	10.75	10.34
PTRH1	0	0	0	0	0	0	0	0	0	0
PTRH2	3.26	3.26	3.14	3.14	3.26	3.14	2.65	3.26	3.14	3.1
PTRHD1	0	0	0.44	0.44	0	0.44	0.36	0	0.44	0.57
PTS	0.33	0.33	0.47	0.47	0.33	0.47	0.09	0.33	0.47	0.07
PTTG1	0	0	0	0	0	0	0	0	0	0
PTTG1IP	7	7	6.33	6.33	7	6.33	6.27	7	6.33	6.1
PTTG2	0	0	0	0	0	0	0	0	0	0
PTX3	10.43	10.43	5.61	5.61	10.43	5.61	0.19	10.43	5.61	5.35
PTX4	0	0	0	0	0	0	0	0	0	0
PUF60	3.61	3.61	3.87	3.87	3.61	3.87	3.52	3.61	3.87	3.41
PUM1	5.8	5.8	5.77	5.77	5.8	5.77	5.82	5.8	5.77	5.47
PUM2	4.59	4.59	4.66	4.66	4.59	4.66	4.98	4.59	4.66	4.47
PURA	2.11	2.11	1.93	1.93	2.11	1.93	1.79	2.11	1.93	1.68
PURB	4.61	4.61	4.48	4.48	4.61	4.48	4.69	4.61	4.48	4.43
PURG	0	0	0	0	0	0	0	0	0	0
PUS1	1.89	1.89	2.31	2.31	1.89	2.31	1.7	1.89	2.31	1.84
PUS10	0.56	0.56	0.62	0.62	0.56	0.62	1.09	0.56	0.62	1.29
PUS3	0	0	0	0	0	0	0.1	0	0	0
PUS7	2.33	2.33	2.6	2.6	2.33	2.6	2.48	2.33	2.6	1.82
PUS7L	0	0	0	0	0	0	0	0	0	0
PUSL1	2.3	2.3	2.41	2.41	2.3	2.41	2.06	2.3	2.41	2.57
PVALB	0	0	0	0	0	0	0	0	0	0
PVR	1.47	1.47	2.37	2.37	1.47	2.37	2.11	1.47	2.37	1.47
PVRIG	0	0	0	0	0	0	0	0	0	0
PVRL1	1.55	1.55	2.28	2.28	1.55	2.28	2.41	1.55	2.28	2.23
PVRL2	3.25	3.25	3.35	3.35	3.25	3.35	3.12	3.25	3.35	3.43
PVRL3	1.31	1.31	0.93	0.93	1.31	0.93	1.63	1.31	0.93	0.38
PVRL3-AS1	0	0	0	0	0	0	0	0	0	0
PVRL4	3.63	3.63	0	0	3.63	0	0	3.63	0	3.14
PVT1	3.97	3.97	4.28	4.28	3.97	4.28	4.03	3.97	4.28	3.64
PWAR6	0	0	0.03	0.03	0	0.03	0.13	0	0.03	0
PWP1	4.11	4.11	4.27	4.27	4.11	4.27	4.45	4.11	4.27	4.06
PWP2	3.54	3.54	3.97	3.97	3.54	3.97	3.53	3.54	3.97	3.5
PWRN1	0	0	0	0	0	0	0	0	0	0
PWRN2	0	0	0	0	0	0	0	0	0	0
PWRN3	0	0	0	0	0	0	0	0	0	0
PWRN4	0	0	0	0	0	0	0	0	0	0
PWWP2A	3.14	3.14	3.51	3.51	3.14	3.51	3.95	3.14	3.51	3.48
PWWP2B	1.73	1.73	1.8	1.8	1.73	1.8	0.82	1.73	1.8	1.64
PXDC1	6.26	6.26	5.78	5.78	6.26	5.78	5.4	6.26	5.78	5.48
PXDN	5.89	5.89	7.2	7.2	5.89	7.2	5.72	5.89	7.2	6.42
PXDNL	0	0	0.78	0.78	0	0.78	1.19	0	0.78	0
PXK	4.14	4.14	3.56	3.56	4.14	3.56	4.13	4.14	3.56	3.32
PXMP2	0.33	0.33	1.64	1.64	0.33	1.64	0.31	0.33	1.64	0.1
PXMP4	0.48	0.48	0.63	0.63	0.48	0.63	0.82	0.48	0.63	0.28
PXN	8.48	8.48	8.19	8.19	8.48	8.19	8.15	8.48	8.19	7.76
PXN-AS1	3.95	3.95	2.99	2.99	3.95	2.99	3.58	3.95	2.99	3.3
PXT1	0	0	0	0	0	0	0	0	0	0
PYCARD	0	0	1.71	1.71	0	1.71	1.13	0	1.71	2.31
PYCR1	0	0	0	0	0	0	0	0	0	0
PYCR2	2.62	2.62	2.99	2.99	2.62	2.99	2.92	2.62	2.99	2.59
PYCRL	0.78	0.78	1.51	1.51	0.78	1.51	0.96	0.78	1.51	0.56
PYDC1	0	0	0	0	0	0	0	0	0	0
PYDC2	0	0	0	0	0	0	0	0	0	0
PYGB	5.72	5.72	5.48	5.48	5.72	5.48	4.85	5.72	5.48	4.93
PYGL	5.46	5.46	6.55	6.55	5.46	6.55	4.64	5.46	6.55	6.27
PYGM	2.36	2.36	2.56	2.56	2.36	2.56	4.49	2.36	2.56	2.91
PYGO1	0.72	0.72	0	0	0.72	0	0.69	0.72	0	0
PYGO2	2.4	2.4	3.2	3.2	2.4	3.2	3.1	2.4	3.2	2.8
PYHIN1	0.05	0.05	0.06	0.06	0.05	0.06	0.89	0.05	0.06	2
PYROXD1	0	0	0	0	0	0	0	0	0	0
PYROXD2	2.15	2.15	3.01	3.01	2.15	3.01	2.97	2.15	3.01	2.8
PYURF	0	0	0	0	0	0	0	0	0	0
PYY	0	0	0	0	0	0	0	0	0	0
PZP	0	0	1.78	1.78	0	1.78	2.79	0	1.78	1.84
QARS	6.45	6.45	6.24	6.24	6.45	6.24	6.29	6.45	6.24	6.29
QDPR	1.18	1.18	2.63	2.63	1.18	2.63	1.85	1.18	2.63	2.12
QKI	5.23	5.23	5.45	5.45	5.23	5.45	5.24	5.23	5.45	5.56
QPCT	3.5	3.5	0.41	0.41	3.5	0.41	0.58	3.5	0.41	0.98
QPCTL	0	0	0	0	0	0	0	0	0	0
QPRT	0	0	0	0	0	0	0.48	0	0	0.71
QRFP	0	0	0	0	0	0	0	0	0	0
QRFPR	0	0	0	0	0	0	0	0	0	0
QRICH1	3.66	3.66	3.7	3.7	3.66	3.7	3.61	3.66	3.7	3.63
QRICH2	0	0	0	0	0	0	1.5	0	0	0.08
QRSL1	1.78	1.78	2.28	2.28	1.78	2.28	2.09	1.78	2.28	2.09
QSER1	2.45	2.45	2.19	2.19	2.45	2.19	2.46	2.45	2.19	2.14
QSOX1	4.89	4.89	4.22	4.22	4.89	4.22	3.92	4.89	4.22	4.6
QSOX2	2.82	2.82	3.01	3.01	2.82	3.01	2.81	2.82	3.01	2.29
QTRT1	4.96	4.96	5.16	5.16	4.96	5.16	5.1	4.96	5.16	4.82
QTRTD1	1.95	1.95	2.23	2.23	1.95	2.23	2.48	1.95	2.23	2.04
R3HCC1	2.59	2.59	2.03	2.03	2.59	2.03	2.63	2.59	2.03	2.13
R3HCC1L	4	4	3.48	3.48	4	3.48	3.53	4	3.48	3.48
R3HDM1	3.99	3.99	4.42	4.42	3.99	4.42	4.46	3.99	4.42	4.23
R3HDM2	2.72	2.72	3.08	3.08	2.72	3.08	3.21	2.72	3.08	3
R3HDM4	3.59	3.59	3.1	3.1	3.59	3.1	2.68	3.59	3.1	3.26
R3HDML	0	0	0	0	0	0	0	0	0	0
RAB10	1.96	1.96	2.86	2.86	1.96	2.86	2.79	1.96	2.86	2.5
RAB11A	4.41	4.41	4.11	4.11	4.41	4.11	4.64	4.41	4.11	4.23
RAB11B	5.47	5.47	5.67	5.67	5.47	5.67	5.52	5.47	5.67	5.49
RAB11B-AS1	0	0	0	0	0	0	0	0	0	0
RAB11FIP1	3.08	3.08	2.24	2.24	3.08	2.24	2.23	3.08	2.24	3.03
RAB11FIP2	3.74	3.74	2.76	2.76	3.74	2.76	3.21	3.74	2.76	2.75
RAB11FIP3	4.38	4.38	3.62	3.62	4.38	3.62	3.78	4.38	3.62	3.19
RAB11FIP4	0	0	0	0	0	0	0	0	0	0.28
RAB11FIP5	6.8	6.8	6.03	6.03	6.8	6.03	6.1	6.8	6.03	5.03
RAB12	3.82	3.82	3.62	3.62	3.82	3.62	3.74	3.82	3.62	3.51
RAB13	5.78	5.78	6.22	6.22	5.78	6.22	6.07	5.78	6.22	6.43
RAB14	6.19	6.19	6.26	6.26	6.19	6.26	6.5	6.19	6.26	6.21
RAB15	0.13	0.13	0.36	0.36	0.13	0.36	0	0.13	0.36	0
RAB17	0	0	0	0	0	0	0	0	0	0
RAB18	4.73	4.73	4.27	4.27	4.73	4.27	4.45	4.73	4.27	4.51
RAB19	0	0	0	0	0	0	0	0	0	0
RAB1A	6.55	6.55	6.6	6.6	6.55	6.6	6.45	6.55	6.6	6.59
RAB1B	4.95	4.95	5.55	5.55	4.95	5.55	5.2	4.95	5.55	5.01
RAB20	1.33	1.33	2.45	2.45	1.33	2.45	0.95	1.33	2.45	3.48
RAB21	3.56	3.56	3.25	3.25	3.56	3.25	3.18	3.56	3.25	3.02
RAB22A	4.52	4.52	4.39	4.39	4.52	4.39	4.55	4.52	4.39	4.31
RAB23	0.92	0.92	0.53	0.53	0.92	0.53	1.96	0.92	0.53	0.86
RAB24	3.27	3.27	3.07	3.07	3.27	3.07	3.35	3.27	3.07	3.18
RAB25	0	0	0	0	0	0	0	0	0	0
RAB26	0	0	0	0	0	0	0	0	0	0
RAB27A	2.2	2.2	1.77	1.77	2.2	1.77	2.08	2.2	1.77	1.86
RAB27B	1.7	1.7	1.26	1.26	1.7	1.26	1.88	1.7	1.26	0.13
RAB28	3.58	3.58	3.67	3.67	3.58	3.67	4.37	3.58	3.67	3.65
RAB2A	4.68	4.68	5.19	5.19	4.68	5.19	4.66	4.68	5.19	4.62
RAB2B	3.05	3.05	2.88	2.88	3.05	2.88	3.1	3.05	2.88	3.06
RAB30	1.97	1.97	2.95	2.95	1.97	2.95	3.69	1.97	2.95	2.5
RAB30-AS1	0	0	0.34	0.34	0	0.34	0	0	0.34	0
RAB31	5.18	5.18	4.58	4.58	5.18	4.58	4.77	5.18	4.58	4.7
RAB32	4.94	4.94	4.86	4.86	4.94	4.86	5.02	4.94	4.86	4.55
RAB33A	2.05	2.05	0.33	0.33	2.05	0.33	0.49	2.05	0.33	0.54
RAB33B	1.91	1.91	1.46	1.46	1.91	1.46	2.42	1.91	1.46	1.44
RAB34	5.92	5.92	5.29	5.29	5.92	5.29	5.56	5.92	5.29	5.35
RAB35	2.58	2.58	2.42	2.42	2.58	2.42	2.37	2.58	2.42	2.17
RAB36	0	0	0	0	0	0	0	0	0	0
RAB37	0.17	0.17	0	0	0.17	0	0.9	0.17	0	0.38
RAB38	0	0	0	0	0	0	0	0	0	0
RAB39A	0	0	0	0	0	0	0	0	0	0
RAB39B	0	0	0	0	0	0	0	0	0	0
RAB3A	0	0	0	0	0	0	0	0	0	0
RAB3B	0	0	0	0	0	0	0	0	0	0
RAB3C	0.62	0.62	1	1	0.62	1	1.89	0.62	1	2.32
RAB3D	0.54	0.54	1.25	1.25	0.54	1.25	1.25	0.54	1.25	0
RAB3GAP1	4.03	4.03	4.07	4.07	4.03	4.07	4.51	4.03	4.07	3.93
RAB3GAP2	4.95	4.95	4.91	4.91	4.95	4.91	5.16	4.95	4.91	4.9
RAB3IL1	5.63	5.63	5.4	5.4	5.63	5.4	5.28	5.63	5.4	4.84
RAB3IP	0.16	0.16	0	0	0.16	0	0	0.16	0	0
RAB40A	0	0	0	0	0	0	0	0	0	0
RAB40AL	0	0	0	0	0	0	0	0	0	0
RAB40B	1.96	1.96	1.64	1.64	1.96	1.64	2.61	1.96	1.64	1.63
RAB40C	3.05	3.05	2.89	2.89	3.05	2.89	2.69	3.05	2.89	2.81
RAB41	0	0	0	0	0	0	0	0	0	0
RAB42	1.24	1.24	0.23	0.23	1.24	0.23	0.45	1.24	0.23	3.79
RAB43	2.46	2.46	1.37	1.37	2.46	1.37	1.28	2.46	1.37	1.39
RAB44	0.36	0.36	0	0	0.36	0	0	0.36	0	0
RAB4A	3.74	3.74	3.04	3.04	3.74	3.04	3.22	3.74	3.04	3.04
RAB4B	2.76	2.76	3.45	3.45	2.76	3.45	2.87	2.76	3.45	3.36
RAB5A	3.73	3.73	3.51	3.51	3.73	3.51	3.64	3.73	3.51	3.73
RAB5B	2.04	2.04	2.09	2.09	2.04	2.09	2.41	2.04	2.09	1.59
RAB5C	5.04	5.04	5.34	5.34	5.04	5.34	4.95	5.04	5.34	5.22
RAB6A	5.91	5.91	5.73	5.73	5.91	5.73	6.21	5.91	5.73	5.81
RAB6B	1.29	1.29	2.17	2.17	1.29	2.17	2.41	1.29	2.17	1.37
RAB6C	0	0	0	0	0	0	0	0	0	0
RAB7A	5.4	5.4	6.01	6.01	5.4	6.01	5.67	5.4	6.01	5.75
RAB7L1	1.9	1.9	3.16	3.16	1.9	3.16	2.68	1.9	3.16	2.44
RAB8A	2.34	2.34	2.38	2.38	2.34	2.38	2.72	2.34	2.38	2.62
RAB8B	2.95	2.95	2.76	2.76	2.95	2.76	2.98	2.95	2.76	3.07
RAB9A	1.02	1.02	1.16	1.16	1.02	1.16	0.92	1.02	1.16	0.94
RAB9B	1.88	1.88	1.62	1.62	1.88	1.62	3.68	1.88	1.62	2.21
RABAC1	3.79	3.79	4.33	4.33	3.79	4.33	4.15	3.79	4.33	3.94
RABEP1	4.68	4.68	4.43	4.43	4.68	4.43	4.51	4.68	4.43	4.38
RABEP2	0.95	0.95	1.55	1.55	0.95	1.55	1.92	0.95	1.55	2.01
RABEPK	3.21	3.21	3.01	3.01	3.21	3.01	2.82	3.21	3.01	3.12
RABGAP1	4.2	4.2	3.81	3.81	4.2	3.81	4.32	4.2	3.81	3.46
RABGAP1L	2.29	2.29	2.03	2.03	2.29	2.03	3.09	2.29	2.03	2.59
RABGAP1L-IT1	0	0	0	0	0	0	0	0	0	0
RABGEF1	0.07	0.07	0	0	0.07	0	0	0.07	0	0
RABGGTA	1.12	1.12	1.42	1.42	1.12	1.42	1.58	1.12	1.42	2.1
RABGGTB	4.58	4.58	4.49	4.49	4.58	4.49	4.17	4.58	4.49	4.43
RABIF	0.81	0.81	1.12	1.12	0.81	1.12	1.78	0.81	1.12	1.6
RABL2A	3.14	3.14	2.33	2.33	3.14	2.33	3.73	3.14	2.33	3.27
RABL2B	3.02	3.02	2.2	2.2	3.02	2.2	2.78	3.02	2.2	2.8
RABL3	1.19	1.19	2.06	2.06	1.19	2.06	2.24	1.19	2.06	1.63
RABL5	1.45	1.45	0.95	0.95	1.45	0.95	1.94	1.45	0.95	1.41
RABL6	3.86	3.86	3.97	3.97	3.86	3.97	3.47	3.86	3.97	3.76
RAC1	5.29	5.29	5.41	5.41	5.29	5.41	5.59	5.29	5.41	5.36
RAC2	1.05	1.05	2.7	2.7	1.05	2.7	1.82	1.05	2.7	4.38
RAC3	1.08	1.08	1.51	1.51	1.08	1.51	0.13	1.08	1.51	0.8
RACGAP1	1.19	1.19	1.5	1.5	1.19	1.5	2.1	1.19	1.5	2.43
RAD1	2.94	2.94	1.82	1.82	2.94	1.82	2.21	2.94	1.82	2.21
RAD17	1.52	1.52	1.45	1.45	1.52	1.45	1.72	1.52	1.45	1.28
RAD18	2.2	2.2	1.99	1.99	2.2	1.99	2.42	2.2	1.99	2.42
RAD21	6.25	6.25	6.35	6.35	6.25	6.35	6.44	6.25	6.35	5.96
RAD21-AS1	0	0	0	0	0	0	0	0	0	0
RAD21L1	0	0	0	0	0	0	0	0	0	0
RAD23A	3.77	3.77	4.22	4.22	3.77	4.22	3.81	3.77	4.22	3.57
RAD23B	5.19	5.19	5.62	5.62	5.19	5.62	5.36	5.19	5.62	5.45
RAD50	3.6	3.6	3.89	3.89	3.6	3.89	3.66	3.6	3.89	3.43
RAD51	0	0	0	0	0	0	0	0	0	0
RAD51AP1	0	0	0	0	0	0	0	0	0	0.41
RAD51AP2	0	0	0	0	0	0	0	0	0	0
RAD51-AS1	0	0	0	0	0	0	0	0	0	0
RAD51B	0	0	0	0	0	0	0.49	0	0	0.48
RAD51C	1.39	1.39	1.64	1.64	1.39	1.64	2.05	1.39	1.64	1.6
RAD51D	0.31	0.31	0.76	0.76	0.31	0.76	0.95	0.31	0.76	0.45
RAD52	1.49	1.49	0.75	0.75	1.49	0.75	1.92	1.49	0.75	1.06
RAD54B	0	0	0	0	0	0	0	0	0	0
RAD54L	0.51	0.51	0.06	0.06	0.51	0.06	0	0.51	0.06	1.7
RAD54L2	5.03	5.03	4.57	4.57	5.03	4.57	4.44	5.03	4.57	4.58
RAD9A	3.99	3.99	3.36	3.36	3.99	3.36	3.77	3.99	3.36	3.56
RAD9B	0	0	0	0	0	0	0	0	0	0
RADIL	0.54	0.54	0.36	0.36	0.54	0.36	1.5	0.54	0.36	0
RAE1	3	3	3.1	3.1	3	3.1	3.24	3	3.1	2.69
RAET1E	0	0	0	0	0	0	0	0	0	0
RAET1E-AS1	0	0	0	0	0	0	0	0	0	0
RAET1G	0	0	0	0	0	0	0	0	0	0
RAET1L	0	0	0	0	0	0	0	0	0	0
RAF1	5.46	5.46	4.9	4.9	5.46	4.9	5.11	5.46	4.9	4.84
RAG1	0	0	0	0	0	0	0	0	0	0
RAG2	0	0	0	0	0	0	0	0	0	0
RAI1	2.38	2.38	1.55	1.55	2.38	1.55	1.48	2.38	1.55	1.55
RAI14	2.52	2.52	1.23	1.23	2.52	1.23	2.71	2.52	1.23	2.04
RAI1-AS1	0	0	0	0	0	0	0	0	0	0
RAI2	4.15	4.15	3.73	3.73	4.15	3.73	3.03	4.15	3.73	2.24
RALA	2.02	2.02	2.09	2.09	2.02	2.09	2.38	2.02	2.09	2.52
RALB	3.07	3.07	3.37	3.37	3.07	3.37	3.88	3.07	3.37	3.43
RALBP1	4.51	4.51	4.72	4.72	4.51	4.72	4.87	4.51	4.72	4.26
RALGAPA1	2.38	2.38	2.53	2.53	2.38	2.53	3.13	2.38	2.53	1.98
RALGAPA2	5.63	5.63	6.36	6.36	5.63	6.36	5.76	5.63	6.36	5.15
RALGAPB	5.46	5.46	6.02	6.02	5.46	6.02	6.11	5.46	6.02	5.57
RALGDS	5.62	5.62	4.89	4.89	5.62	4.89	5.06	5.62	4.89	5.28
RALGPS1	3.67	3.67	2.26	2.26	3.67	2.26	3.22	3.67	2.26	2.98
RALGPS2	1.13	1.13	0.94	0.94	1.13	0.94	1.59	1.13	0.94	1.65
RALY	5.08	5.08	4.72	4.72	5.08	4.72	4.99	5.08	4.72	4.99
RALYL	0	0	0	0	0	0	0	0	0	0
RAMP1	0	0	0	0	0	0	0	0	0	0
RAMP2	1.83	1.83	2.07	2.07	1.83	2.07	3.01	1.83	2.07	1.99
RAMP2-AS1	0.49	0.49	1.3	1.3	0.49	1.3	1.5	0.49	1.3	0
RAMP3	3.76	3.76	3.66	3.66	3.76	3.66	4.26	3.76	3.66	3.65
RAN	4.24	4.24	5.08	5.08	4.24	5.08	4.48	4.24	5.08	4.58
RANBP1	3.02	3.02	3.63	3.63	3.02	3.63	3.38	3.02	3.63	3.3
RANBP10	3.3	3.3	2.92	2.92	3.3	2.92	3.43	3.3	2.92	2.65
RANBP17	2.05	2.05	0.08	0.08	2.05	0.08	0.94	2.05	0.08	1.38
RANBP2	4.07	4.07	4.32	4.32	4.07	4.32	4.22	4.07	4.32	4.68
RANBP3	3.61	3.61	3.54	3.54	3.61	3.54	3.68	3.61	3.54	3.53
RANBP3L	0	0	0	0	0	0	0	0	0	0
RANBP6	1.07	1.07	1.74	1.74	1.07	1.74	1.6	1.07	1.74	1.41
RANBP9	4.19	4.19	3.25	3.25	4.19	3.25	3.22	4.19	3.25	3.21
RANGAP1	3.21	3.21	3.75	3.75	3.21	3.75	3.27	3.21	3.75	3.36
RANGRF	0	0	0	0	0	0	0	0	0	0
RAP1A	4.35	4.35	4.36	4.36	4.35	4.36	4.86	4.35	4.36	4.29
RAP1B	4.73	4.73	4.14	4.14	4.73	4.14	4.6	4.73	4.14	4.67
RAP1GAP	1.6	1.6	0	0	1.6	0	0	1.6	0	0
RAP1GAP2	1.85	1.85	0.28	0.28	1.85	0.28	0.03	1.85	0.28	0.67
RAP1GDS1	0.89	0.89	1.4	1.4	0.89	1.4	1.28	0.89	1.4	1.53
RAP2A	2.61	2.61	2.31	2.31	2.61	2.31	2.94	2.61	2.31	3.36
RAP2B	2.33	2.33	2.71	2.71	2.33	2.71	2.39	2.33	2.71	4.05
RAP2C	2.51	2.51	2.07	2.07	2.51	2.07	1.82	2.51	2.07	2.3
RAP2C-AS1	0	0	0	0	0	0	0	0	0	0
RAPGEF1	4.42	4.42	4.51	4.51	4.42	4.51	4.36	4.42	4.51	4.82
RAPGEF2	2.62	2.62	2.44	2.44	2.62	2.44	2.74	2.62	2.44	2.26
RAPGEF3	5.19	5.19	6.58	6.58	5.19	6.58	6.81	5.19	6.58	5
RAPGEF4	1.36	1.36	1.29	1.29	1.36	1.29	1.63	1.36	1.29	0.36
RAPGEF4-AS1	0	0	0	0	0	0	0	0	0	0
RAPGEF5	4.39	4.39	2.7	2.7	4.39	2.7	3.7	4.39	2.7	2.54
RAPGEF6	4.16	4.16	3.26	3.26	4.16	3.26	3.57	4.16	3.26	3.53
RAPGEFL1	4.09	4.09	2.2	2.2	4.09	2.2	2.17	4.09	2.2	2.91
RAPH1	2.3	2.3	1.66	1.66	2.3	1.66	1.78	2.3	1.66	2.7
RAPSN	0	0	0	0	0	0	0	0	0	0
RARA	4.29	4.29	4.82	4.82	4.29	4.82	4.99	4.29	4.82	5.1
RARB	0	0	0	0	0	0	0	0	0	0
RARG	2.48	2.48	2.47	2.47	2.48	2.47	3.76	2.48	2.47	2.4
RARRES1	3.1	3.1	2.24	2.24	3.1	2.24	2.09	3.1	2.24	7.84
RARRES2	5.54	5.54	5.1	5.1	5.54	5.1	4.26	5.54	5.1	4.84
RARRES3	4.45	4.45	4	4	4.45	4	5.39	4.45	4	5.48
RARS	2.7	2.7	2.41	2.41	2.7	2.41	2.35	2.7	2.41	2.48
RARS2	3.63	3.63	2.71	2.71	3.63	2.71	3.07	3.63	2.71	2.86
RASA1	3.24	3.24	3.37	3.37	3.24	3.37	3.71	3.24	3.37	4.29
RASA2	1.94	1.94	1.62	1.62	1.94	1.62	2.12	1.94	1.62	1.59
RASA2-IT1	0	0	0	0	0	0	0	0	0	0
RASA3	5.6	5.6	5.23	5.23	5.6	5.23	4.33	5.6	5.23	4.69
RASA3-IT1	0	0	0	0	0	0	0	0	0	0
RASA4	0.81	0.81	0.55	0.55	0.81	0.55	2.6	0.81	0.55	2.15
RASA4B	0	0	0	0	0	0	0.29	0	0	0
RASAL1	0	0	0	0	0	0	0	0	0	0
RASAL2	2.37	2.37	2.94	2.94	2.37	2.94	3.25	2.37	2.94	2.59
RASAL2-AS1	0	0	0	0	0	0	0	0	0	0
RASAL3	0	0	0.46	0.46	0	0.46	0	0	0.46	1.31
RASD1	2.77	2.77	4.28	4.28	2.77	4.28	2.53	2.77	4.28	3.37
RASD2	0	0	0.47	0.47	0	0.47	0	0	0.47	0
RASEF	0	0	0	0	0	0	0	0	0	0
RASGEF1A	0	0	0	0	0	0	0	0	0	0
RASGEF1B	2.23	2.23	2.05	2.05	2.23	2.05	1.19	2.23	2.05	3.6
RASGEF1C	0	0	0	0	0	0	0	0	0	0
RASGRF1	0	0	0	0	0	0	0	0	0	0
RASGRF2	2.14	2.14	2.72	2.72	2.14	2.72	2.78	2.14	2.72	2.2
RASGRP1	1.39	1.39	0	0	1.39	0	0.4	1.39	0	2.46
RASGRP2	3.89	3.89	4.16	4.16	3.89	4.16	4.47	3.89	4.16	3.94
RASGRP3	4.31	4.31	1.33	1.33	4.31	1.33	2.82	4.31	1.33	4.62
RASGRP4	0.8	0.8	2.7	2.7	0.8	2.7	1.25	0.8	2.7	2.52
RASIP1	2.19	2.19	2.94	2.94	2.19	2.94	3.27	2.19	2.94	2.66
RASL10A	0	0	0	0	0	0	0	0	0	0.63
RASL10B	0.83	0.83	2.51	2.51	0.83	2.51	0	0.83	2.51	0
RASL11A	2.06	2.06	2.37	2.37	2.06	2.37	2.7	2.06	2.37	1.62
RASL11B	0	0	0	0	0	0	0	0	0	0.46
RASL12	3.07	3.07	3.67	3.67	3.07	3.67	5.44	3.07	3.67	4.01
RASSF1	3.48	3.48	3.3	3.3	3.48	3.3	3.32	3.48	3.3	3.52
RASSF2	3.08	3.08	4.14	4.14	3.08	4.14	4.04	3.08	4.14	4.4
RASSF3	3.69	3.69	4.1	4.1	3.69	4.1	4.79	3.69	4.1	4.96
RASSF4	2.6	2.6	4.7	4.7	2.6	4.7	3.52	2.6	4.7	4.96
RASSF5	2.37	2.37	1.9	1.9	2.37	1.9	2.03	2.37	1.9	3.63
RASSF6	0	0	0	0	0	0	0	0	0	0
RASSF7	2.43	2.43	1.32	1.32	2.43	1.32	1.57	2.43	1.32	1.92
RASSF8	2.81	2.81	2.36	2.36	2.81	2.36	2.87	2.81	2.36	2.28
RASSF8-AS1	0.42	0.42	0	0	0.42	0	0	0.42	0	0.54
RASSF9	0	0	0	0	0	0	1.32	0	0	0.12
RAVER1	6.16	6.16	6.76	6.76	6.16	6.76	6.39	6.16	6.76	6.41
RAVER2	0.48	0.48	0	0	0.48	0	1.32	0.48	0	0
RAX	0	0	0	0	0	0	0	0	0	0
RAX2	0	0	0	0	0	0	0	0	0	0
RB1	2.08	2.08	2.71	2.71	2.08	2.71	3.15	2.08	2.71	2.61
RB1CC1	4.42	4.42	3.91	3.91	4.42	3.91	3.9	4.42	3.91	3.29
RBAK	3.09	3.09	2.52	2.52	3.09	2.52	3.24	3.09	2.52	2.6
RBAKDN	0	0	0	0	0	0	0	0	0	0
RBBP4	4.36	4.36	4.28	4.28	4.36	4.28	4.41	4.36	4.28	4.13
RBBP5	2.34	2.34	2.33	2.33	2.34	2.33	2.72	2.34	2.33	1.95
RBBP6	3.66	3.66	3.43	3.43	3.66	3.43	3.55	3.66	3.43	3.24
RBBP7	3.64	3.64	3.4	3.4	3.64	3.4	4.03	3.64	3.4	3.59
RBBP8	0	0	0.39	0.39	0	0.39	0.12	0	0.39	0.26
RBBP8NL	0	0	0	0	0	0	0	0	0	0
RBBP9	2.31	2.31	2.15	2.15	2.31	2.15	2.68	2.31	2.15	2.36
RBCK1	3.52	3.52	3.6	3.6	3.52	3.6	3.88	3.52	3.6	3.75
RBFA	0.64	0.64	1.66	1.66	0.64	1.66	1.49	0.64	1.66	1.18
RBFADN	0	0	0	0	0	0	0.1	0	0	0
RBFOX1	0	0	0	0	0	0	0	0	0	0
RBFOX2	4.2	4.2	4.14	4.14	4.2	4.14	4.8	4.2	4.14	3.85
RBFOX3	0	0	0	0	0	0	0	0	0	0
RBKS	0	0	0	0	0	0	0	0	0	0.44
RBL1	0.54	0.54	0.95	0.95	0.54	0.95	1.42	0.54	0.95	0.75
RBL2	4.11	4.11	4.28	4.28	4.11	4.28	4.18	4.11	4.28	3.84
